"","time","direction","accel","label","recording_num"
"1",1514826562442,"x",-0.7496,"Episkey","gesture 1"
"2",1514826562463,"x",-0.7496,"Episkey","gesture 1"
"3",1514826562475,"x",-0.7496,"Episkey","gesture 1"
"4",1514826562492,"x",-0.7496,"Episkey","gesture 1"
"5",1514826562508,"x",-0.7496,"Episkey","gesture 1"
"6",1514826562525,"x",-0.7496,"Episkey","gesture 1"
"7",1514826562591,"x",-0.0336,"Episkey","gesture 1"
"8",1514826562609,"x",-0.0787,"Episkey","gesture 1"
"9",1514826562625,"x",-0.1795,"Episkey","gesture 1"
"10",1514826562641,"x",-0.1374,"Episkey","gesture 1"
"11",1514826562658,"x",0.009,"Episkey","gesture 1"
"12",1514826562675,"x",0.0132,"Episkey","gesture 1"
"13",1514826562691,"x",-3e-04,"Episkey","gesture 1"
"14",1514826562708,"x",-0.002,"Episkey","gesture 1"
"15",1514826562725,"x",-0.0074,"Episkey","gesture 1"
"16",1514826562741,"x",-0.2266,"Episkey","gesture 1"
"17",1514826562758,"x",-0.7921,"Episkey","gesture 1"
"18",1514826562775,"x",-0.7528,"Episkey","gesture 1"
"19",1514826562792,"x",-1.6441,"Episkey","gesture 1"
"20",1514826562808,"x",-1.3958,"Episkey","gesture 1"
"21",1514826562825,"x",-0.4964,"Episkey","gesture 1"
"22",1514826562841,"x",0.2766,"Episkey","gesture 1"
"23",1514826562858,"x",0.0372,"Episkey","gesture 1"
"24",1514826562876,"x",-0.5488,"Episkey","gesture 1"
"25",1514826562892,"x",-0.7307,"Episkey","gesture 1"
"26",1514826562908,"x",-1.8091,"Episkey","gesture 1"
"27",1514826562925,"x",-1.3166,"Episkey","gesture 1"
"28",1514826562942,"x",-2.12,"Episkey","gesture 1"
"29",1514826562958,"x",-6.5237,"Episkey","gesture 1"
"30",1514826562975,"x",-6.0799,"Episkey","gesture 1"
"31",1514826562992,"x",-5.1209,"Episkey","gesture 1"
"32",1514826563009,"x",-2.3396,"Episkey","gesture 1"
"33",1514826563025,"x",-1.5868,"Episkey","gesture 1"
"34",1514826563041,"x",-2.3947,"Episkey","gesture 1"
"35",1514826563059,"x",-6.1235,"Episkey","gesture 1"
"36",1514826563075,"x",-6.8471,"Episkey","gesture 1"
"37",1514826563092,"x",-6.6121,"Episkey","gesture 1"
"38",1514826563108,"x",-3.5877,"Episkey","gesture 1"
"39",1514826563125,"x",-2.1179,"Episkey","gesture 1"
"40",1514826563142,"x",4.6534,"Episkey","gesture 1"
"41",1514826563158,"x",1.1485,"Episkey","gesture 1"
"42",1514826563175,"x",0.7219,"Episkey","gesture 1"
"43",1514826563192,"x",-0.6853,"Episkey","gesture 1"
"44",1514826563208,"x",-2.121,"Episkey","gesture 1"
"45",1514826563225,"x",-0.6572,"Episkey","gesture 1"
"46",1514826563241,"x",2.3231,"Episkey","gesture 1"
"47",1514826563258,"x",3.2631,"Episkey","gesture 1"
"48",1514826563275,"x",3.8853,"Episkey","gesture 1"
"49",1514826563291,"x",4.5395,"Episkey","gesture 1"
"50",1514826563308,"x",5.4409,"Episkey","gesture 1"
"51",1514826563325,"x",5.932,"Episkey","gesture 1"
"52",1514826563341,"x",7.4564,"Episkey","gesture 1"
"53",1514826563358,"x",8.8283,"Episkey","gesture 1"
"54",1514826563375,"x",8.7661,"Episkey","gesture 1"
"55",1514826563391,"x",9.7343,"Episkey","gesture 1"
"56",1514826563408,"x",10.8314,"Episkey","gesture 1"
"57",1514826563425,"x",13.0534,"Episkey","gesture 1"
"58",1514826563442,"x",12.032,"Episkey","gesture 1"
"59",1514826563459,"x",3.2138,"Episkey","gesture 1"
"60",1514826563475,"x",-0.7407,"Episkey","gesture 1"
"61",1514826563491,"x",-10.8339,"Episkey","gesture 1"
"62",1514826563509,"x",-18.7179,"Episkey","gesture 1"
"63",1514826563525,"x",-32.2731,"Episkey","gesture 1"
"64",1514826563541,"x",-30.9606,"Episkey","gesture 1"
"65",1514826563559,"x",-28.8254,"Episkey","gesture 1"
"66",1514826563575,"x",-26.7599,"Episkey","gesture 1"
"67",1514826563592,"x",-22.2701,"Episkey","gesture 1"
