"","time","direction","accel","label","recording_num"
"1",1514695498997,"x",0.0052,"Alohamora","gesture 1"
"2",1514695499009,"x",0.0052,"Alohamora","gesture 1"
"3",1514695499037,"x",0.0052,"Alohamora","gesture 1"
"4",1514695499042,"x",0.0052,"Alohamora","gesture 1"
"5",1514695499057,"x",0.0052,"Alohamora","gesture 1"
"6",1514695499074,"x",0.0052,"Alohamora","gesture 1"
"7",1514695499141,"x",0.3253,"Alohamora","gesture 1"
"8",1514695499156,"x",1.0284,"Alohamora","gesture 1"
"9",1514695499174,"x",0.7355,"Alohamora","gesture 1"
"10",1514695499190,"x",0.1021,"Alohamora","gesture 1"
"11",1514695499207,"x",-0.7112,"Alohamora","gesture 1"
"12",1514695499223,"x",-0.9892,"Alohamora","gesture 1"
"13",1514695499241,"x",-0.7249,"Alohamora","gesture 1"
"14",1514695499257,"x",1.3764,"Alohamora","gesture 1"
"15",1514695499274,"x",1.4602,"Alohamora","gesture 1"
"16",1514695499290,"x",1.0772,"Alohamora","gesture 1"
"17",1514695499306,"x",0.2691,"Alohamora","gesture 1"
"18",1514695499324,"x",0.2784,"Alohamora","gesture 1"
"19",1514695499341,"x",1.5407,"Alohamora","gesture 1"
"20",1514695499357,"x",0.5292,"Alohamora","gesture 1"
"21",1514695499374,"x",-0.023,"Alohamora","gesture 1"
"22",1514695499390,"x",-1.4668,"Alohamora","gesture 1"
"23",1514695499407,"x",-1.9012,"Alohamora","gesture 1"
"24",1514695499424,"x",-2.0148,"Alohamora","gesture 1"
"25",1514695499441,"x",-3.3322,"Alohamora","gesture 1"
"26",1514695499457,"x",-4.8192,"Alohamora","gesture 1"
"27",1514695499474,"x",-6.225,"Alohamora","gesture 1"
"28",1514695499490,"x",-7.2128,"Alohamora","gesture 1"
"29",1514695499507,"x",-6.966,"Alohamora","gesture 1"
"30",1514695499524,"x",-6.0379,"Alohamora","gesture 1"
"31",1514695499541,"x",-6.4737,"Alohamora","gesture 1"
"32",1514695499557,"x",-6.0304,"Alohamora","gesture 1"
"33",1514695499576,"x",-5.3525,"Alohamora","gesture 1"
"34",1514695499604,"x",-3.6685,"Alohamora","gesture 1"
"35",1514695499606,"x",-2.6602,"Alohamora","gesture 1"
"36",1514695499624,"x",-1.4699,"Alohamora","gesture 1"
"37",1514695499640,"x",2.7027,"Alohamora","gesture 1"
"38",1514695499656,"x",6.149,"Alohamora","gesture 1"
"39",1514695499674,"x",8.3478,"Alohamora","gesture 1"
"40",1514695499691,"x",14.6409,"Alohamora","gesture 1"
"41",1514695499707,"x",16.4195,"Alohamora","gesture 1"
"42",1514695499724,"x",16.3412,"Alohamora","gesture 1"
"43",1514695499741,"x",15.1063,"Alohamora","gesture 1"
"44",1514695499757,"x",9.131,"Alohamora","gesture 1"
"45",1514695499774,"x",6.1575,"Alohamora","gesture 1"
"46",1514695499790,"x",1.5064,"Alohamora","gesture 1"
"47",1514695499806,"x",-4.1576,"Alohamora","gesture 1"
"48",1514695499824,"x",-8.3125,"Alohamora","gesture 1"
"49",1514695499840,"x",-20.9055,"Alohamora","gesture 1"
"50",1514695499856,"x",-24.5127,"Alohamora","gesture 1"
"51",1514695499874,"x",-23.2661,"Alohamora","gesture 1"
"52",1514695499890,"x",-23.1037,"Alohamora","gesture 1"
"53",1514695499907,"x",-22.244,"Alohamora","gesture 1"
"54",1514695499924,"x",-20.7883,"Alohamora","gesture 1"
