time,direction,accel,label,recording_num
0.054,m_x,-0.01,Alohomora,gesture 1
0.1,m_x,-0.02,Alohomora,gesture 1
0.152,m_x,-0.02,Alohomora,gesture 1
0.203,m_x,0.11,Alohomora,gesture 1
0.252,m_x,-0.04,Alohomora,gesture 1
0.303,m_x,-0.27,Alohomora,gesture 1
0.353,m_x,-0.87,Alohomora,gesture 1
0.402,m_x,-1.96,Alohomora,gesture 1
0.454,m_x,-2.28,Alohomora,gesture 1
0.504,m_x,-2.28,Alohomora,gesture 1
0.565,m_x,-1.31,Alohomora,gesture 1
0.606,m_x,-0.27,Alohomora,gesture 1
0.656,m_x,1.48,Alohomora,gesture 1
0.707,m_x,4.43,Alohomora,gesture 1
0.757,m_x,5.88,Alohomora,gesture 1
0.808,m_x,6.93,Alohomora,gesture 1
0.859,m_x,5.37,Alohomora,gesture 1
0.91,m_x,2.91,Alohomora,gesture 1
0.961,m_x,0.55,Alohomora,gesture 1
1.012,m_x,-1.44,Alohomora,gesture 1
1.063,m_x,-4.45,Alohomora,gesture 1
1.113,m_x,-5.3,Alohomora,gesture 1
1.163,m_x,-5.36,Alohomora,gesture 1
1.213,m_x,-4.79,Alohomora,gesture 1
1.265,m_x,-2.9,Alohomora,gesture 1
1.315,m_x,-1.37,Alohomora,gesture 1
1.365,m_x,0.46,Alohomora,gesture 1
1.415,m_x,1.46,Alohomora,gesture 1
1.465,m_x,3.58,Alohomora,gesture 1
1.517,m_x,3.78,Alohomora,gesture 1
1.567,m_x,1.62,Alohomora,gesture 1
1.618,m_x,0.99,Alohomora,gesture 1
1.668,m_x,0.38,Alohomora,gesture 1
1.718,m_x,0.08,Alohomora,gesture 1
1.769,m_x,0.39,Alohomora,gesture 1
1.82,m_x,-0.2,Alohomora,gesture 1
1.871,m_x,-0.03,Alohomora,gesture 1
1.921,m_x,-0.06,Alohomora,gesture 1
1.971,m_x,-0.07,Alohomora,gesture 1
2.022,m_x,-0.21,Alohomora,gesture 1
2.073,m_x,-0.06,Alohomora,gesture 1
2.123,m_x,-0.12,Alohomora,gesture 1
2.174,m_x,0.1,Alohomora,gesture 1
2.224,m_x,0.1,Alohomora,gesture 1
2.274,m_x,0.02,Alohomora,gesture 1
2.325,m_x,0.03,Alohomora,gesture 1
2.377,m_x,-0.1,Alohomora,gesture 1
2.428,m_x,-0.01,Alohomora,gesture 1
2.479,m_x,-0.17,Alohomora,gesture 1
2.528,m_x,0.06,Alohomora,gesture 1
2.58,m_x,0,Alohomora,gesture 1
2.631,m_x,0.06,Alohomora,gesture 1
2.682,m_x,0.14,Alohomora,gesture 1
2.733,m_x,0.01,Alohomora,gesture 1
2.784,m_x,0.01,Alohomora,gesture 1
2.834,m_x,-0.08,Alohomora,gesture 1
2.9,m_x,0.01,Alohomora,gesture 1
2.951,m_x,0.05,Alohomora,gesture 1
3.009,m_x,-0.05,Alohomora,gesture 1
0.054,m_y,-0.07,Alohomora,gesture 1
0.1,m_y,0.03,Alohomora,gesture 1
0.152,m_y,-0.08,Alohomora,gesture 1
0.203,m_y,-0.13,Alohomora,gesture 1
0.252,m_y,-0.1,Alohomora,gesture 1
0.303,m_y,-0.12,Alohomora,gesture 1
0.353,m_y,-0.45,Alohomora,gesture 1
0.402,m_y,-0.54,Alohomora,gesture 1
