time,direction,accel,label,recording_num
0.052,m_x,-0.07,Winggardium Leviosa,gesture 1
0.102,m_x,-0.04,Winggardium Leviosa,gesture 1
0.153,m_x,0.02,Winggardium Leviosa,gesture 1
0.206,m_x,0.03,Winggardium Leviosa,gesture 1
0.255,m_x,-0.01,Winggardium Leviosa,gesture 1
0.309,m_x,0.01,Winggardium Leviosa,gesture 1
0.358,m_x,0,Winggardium Leviosa,gesture 1
0.409,m_x,-0.29,Winggardium Leviosa,gesture 1
0.462,m_x,-0.66,Winggardium Leviosa,gesture 1
0.513,m_x,-1.25,Winggardium Leviosa,gesture 1
0.573,m_x,-1.46,Winggardium Leviosa,gesture 1
0.616,m_x,-1.32,Winggardium Leviosa,gesture 1
0.667,m_x,-0.72,Winggardium Leviosa,gesture 1
0.718,m_x,-0.61,Winggardium Leviosa,gesture 1
0.768,m_x,-0.1,Winggardium Leviosa,gesture 1
0.819,m_x,0.21,Winggardium Leviosa,gesture 1
0.869,m_x,0.33,Winggardium Leviosa,gesture 1
0.92,m_x,0.57,Winggardium Leviosa,gesture 1
0.97,m_x,0.01,Winggardium Leviosa,gesture 1
1.02,m_x,-1.03,Winggardium Leviosa,gesture 1
1.072,m_x,-1.94,Winggardium Leviosa,gesture 1
1.123,m_x,-2.93,Winggardium Leviosa,gesture 1
1.173,m_x,-2.02,Winggardium Leviosa,gesture 1
1.224,m_x,-0.42,Winggardium Leviosa,gesture 1
1.275,m_x,1.05,Winggardium Leviosa,gesture 1
1.327,m_x,1.97,Winggardium Leviosa,gesture 1
1.378,m_x,2.41,Winggardium Leviosa,gesture 1
1.429,m_x,2.44,Winggardium Leviosa,gesture 1
1.481,m_x,0.67,Winggardium Leviosa,gesture 1
1.532,m_x,-1.39,Winggardium Leviosa,gesture 1
1.584,m_x,-0.99,Winggardium Leviosa,gesture 1
1.635,m_x,-2.69,Winggardium Leviosa,gesture 1
1.686,m_x,1.64,Winggardium Leviosa,gesture 1
1.736,m_x,-0.6,Winggardium Leviosa,gesture 1
1.787,m_x,-0.22,Winggardium Leviosa,gesture 1
1.837,m_x,0.04,Winggardium Leviosa,gesture 1
1.888,m_x,0.2,Winggardium Leviosa,gesture 1
1.938,m_x,0.07,Winggardium Leviosa,gesture 1
1.988,m_x,-0.14,Winggardium Leviosa,gesture 1
2.039,m_x,-0.37,Winggardium Leviosa,gesture 1
2.089,m_x,-0.15,Winggardium Leviosa,gesture 1
2.14,m_x,-0.3,Winggardium Leviosa,gesture 1
2.191,m_x,-0.27,Winggardium Leviosa,gesture 1
2.242,m_x,-0.16,Winggardium Leviosa,gesture 1
2.293,m_x,-0.34,Winggardium Leviosa,gesture 1
2.343,m_x,-0.29,Winggardium Leviosa,gesture 1
2.393,m_x,-0.11,Winggardium Leviosa,gesture 1
2.444,m_x,-0.2,Winggardium Leviosa,gesture 1
